nama_sekolah,jumlah_siswa,mengulang,putus_sekolah,kepala_guru,tendik,rombel,ruang_kelas,total_guru,rasio_siswa_guru,rasio_siswa_rombel,rasio_siswa_kelas,status_sekolah_Swasta,kepadatan_kelas_Sedang,kepadatan_kelas_Tinggi,kecamatan_Kec. Bontoala,kecamatan_Kec. Makasar,kecamatan_Kec. Mamajang,kecamatan_Kec. Manggala,kecamatan_Kec. Mariso,kecamatan_Kec. Panakukkang,kecamatan_Kec. Rappocini,kecamatan_Kec. Tallo,kecamatan_Kec. Tamalanrea,kecamatan_Kec. Tamalate,kecamatan_Kec. Ujung Pandang,kecamatan_Kec. Ujung Tanah,kecamatan_Kec. Wajo,kecamatan_Sumber:,kecamatan_Tanggal cutoff:
10,-0.3800286481054179,37.0,9.0,178.0,-0.3285283300140038,-0.4606138673153781,-0.5923386839978064,-0.4947325743898438,0.6035789278728176,0.7073591556318785,0.35428609127031935,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
20,0.2980841002569078,8.0,9.0,321.0,0.1856899256600891,0.3788480920522932,0.1767712303030103,0.28148577508387645,0.34591039488094627,0.23310566100934157,0.619882859492129,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
32,1.7393090529444686,43.0,6.0,548.0,1.7854800544239335,1.569357779882809,1.2311961128121947,1.5136645536190827,1.0652514530197523,1.4172248280775992,1.5072453749665657,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
21,0.53559840283681,23.0,8.0,390.0,0.41423137262635257,0.6001607904310429,0.6233511805421942,0.6560246989558114,-0.005246842312261674,0.4256831490515039,0.41882952034950066,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
14,-0.13928651808388617,4.0,4.0,224.0,0.29996064914322085,-0.23166969657874048,-0.3690487088782145,-0.24503995847522053,0.6140121568380777,0.9172033842771856,0.590083658976803,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
7,-0.9276833707018856,0.0,1.0,98.0,-0.9570173091712284,-0.9566595705780929,-1.1381586231790313,-0.9289806020674496,-1.1227503182086125,-0.8611294502185936,-0.5784637215373866,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
9,-0.5594420567359896,0.0,2.0,142.0,-0.44279905349713555,-0.6590321486204641,-1.0389186342369903,-0.6901441868447664,0.6717817465279122,0.7525445736665507,1.1272201067185486,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17,-0.08522040843659245,42.0,0.0,236.0,0.1856899256600891,-0.08667172177886999,-0.48069369643801046,-0.17990275432357966,0.568673458960647,0.37755682170701715,1.0428864588579378,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
34,1.7933751625917624,34.0,7.0,565.0,1.214126437008275,1.744881644114231,1.3056261045187252,1.605942259500574,0.9738002508603318,1.0783291613530646,1.4805206438814233,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
29,1.2112902806179136,13.0,12.0,476.0,0.699908181334182,1.164889744914749,0.598541183306684,1.1228413287092376,0.7207221009295832,1.0055386450738975,1.6755115272097716,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
37,2.494889659905902,7.0,3.0,709.0,2.1854275866148947,2.492765935187247,2.322835991174644,2.3875887093202643,0.8148256239048977,1.0303953661829108,1.1705134801106007,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
25,0.7604703812703302,12.0,4.0,409.0,1.0427203517835772,0.7604217099466892,1.0327161349281129,0.7591586055292427,0.4180286496402221,0.7526982855199497,0.2998865232718263,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
29,1.223394633524024,24.0,2.0,529.0,1.2712617987498407,1.363308026219835,1.2932211059009702,1.4105306470456513,0.07208729046896116,0.4453975482046659,0.692172465465002,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
30,1.4528393674998528,5.0,2.0,533.0,2.128292224873329,1.3327821367882833,0.9830961404570924,1.4322430484295317,0.5772888968467552,1.262052750154931,1.4399355426777336,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
5,-1.1350712838265793,0.0,1.0,34.0,-1.128423394395926,-1.1932352136726185,-1.3862585955341333,-1.276379024209534,0.3351193877040072,-1.8716241875612016,-1.3143292672569822,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
7,-1.0888057571632235,1.0,1.0,77.0,-1.0141526709127944,-1.0635001835885238,-1.2001836162678068,-1.042970709332821,-2.459004042054716,-2.6784872660243675,-1.4405283291458992,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
17,-0.4295220022104032,1.0,1.0,177.0,-0.4999344152387014,-0.29272147544184385,0.13955623444974496,-0.5001606747358139,0.28316126037311656,-0.8504319546101613,-0.9337530299267647,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
11,-0.8367662310959887,0.0,0.0,118.0,-0.7856112239465308,-0.8040301234203345,-0.6295536798510718,-0.8204185951480482,-0.9707577310385587,-1.1762264007427217,-1.1945119566158828,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
16,-0.4572275210843895,0.0,4.0,230.0,0.29996064914322085,-0.28509000308395593,0.3504412109515818,-0.2124713563994001,-1.3294613761346026,-1.1030788943710492,-1.174373777915973,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
